domain              	string              	                    
state__view__previous_page__page_sub_section__name	string              	                    
state__view__previous_page__page_sub_section__index	int                 	                    
state__view__previous_page__page_sub_section__number_of_items	int                 	                    
state__view__previous_page__page_sub_section__display_type	string              	                    
state__view__previous_page__sort_and_filter__applied_sorts	array<string>       	                    
state__view__previous_page__sort_and_filter__applied_filters	array<string>       	                    
state__view__previous_page__page_viewed_time_ms	int                 	                    
state__view__modal__name	string              	                    
state__view__modal__text	string              	                    
state__view__modal__modal_type	string              	                    
state__view__modal__load_time_ms	int                 	                    
state__download__content_window	bigint              	                    
state__download__quality	string              	                    
state__download__watched	boolean             	                    
state__download__duration_ms	int                 	                    
state__search__number_of_search_results	int                 	                    
state__search__selected_result_name	string              	                    
state__search__text 	string              	                    
state__search__selected_result_facet	string              	                    
state__search__search_type	string              	                    
state__search__results	array<string>       	                    
state__search__results_ms	int                 	                    
state__search__query_id	string              	                    
state__search__search_id	string              	                    
qa__discard         	boolean             	                    
qa__issues__issues  	array<struct<issues:string>>	                    
qa__issues          	array<string>       	                    
operation__toggle_state	boolean             	                    
operation__operation_type	string              	                    
operation__dvr_operation	string              	                    
operation__switch_screen_direction	string              	                    
operation__switch_screen_id	string              	                    
operation__success  	boolean             	                    
operation__user_entry__text	string              	                    
operation__user_entry__entry_type	string              	                    
operation__user_entry__pin_type	string              	                    
operation__user_entry__pin_change_type	string              	                    
operation__user_entry__operation_result	string              	                    
visit__external_apps__app_vendor	array<string>       	                    
visit__external_apps__app_name	array<string>       	                    
visit__external_apps__entitled	array<boolean>      	                    
visit__external_apps__channel_number	array<string>       	                    
visit__account__account_features__boxless	boolean             	                    
visit__account__account_features__cdvr	boolean             	                    
visit__account__account_features__accessibility	boolean             	                    
state__view__current_page__render_details__is_lazy_load	boolean             	                    
message__feature__featuretype	string              	                    
message__context    	string              	                    
visit__mirroring    	boolean             	                    
visit__third_party_access__requester_id	string              	                    
visit__third_party_access__resource_id	string              	                    
visit__device__uuid_aes_256	string              	                    
visit__account__account_number_aes_256	string              	                    
operation__add_ons_selected	map<string,string>  	                    
visit__login__auth_attempt_id	string              	                    
visit__account__stream_to_customer	boolean             	                    
state__view__current_page__page_channel_lineup__number_available_channels	int                 	                    
state__view__current_page__page_channel_lineup__number_unavailable_channels	int                 	                    
state__view__current_page__page_channel_lineup__available_channels	array<string>       	                    
operation__recording_options	map<string,string>  	                    
visit__account__bi_account_info__stream_2	string              	                    
visit__account__bi_account_zip_code__stream_2	string              	                    
visit__experiment_uuids	array<string>       	                    
visit__variant_uuids	array<string>       	                    
visit__login__auth_cookie_name	string              	                    
visit__login__set_cookie_type	string              	                    
visit__login__logged_in	boolean             	                    
visit__application_details__referrer_location	string              	                    
visit__application_details__app_backgrounded_timestamp	bigint              	                    
visit__application_details__campaign__campaign_id	string              	                    
visit__billing__bill_pay	string              	                    
visit__billing__paperless_billing	string              	                    
visit__billing__appoinment_scheduled	string              	                    
state__view__current_page__page_section__all_displayed	array<string>       	                    
state__view__current_page__page_url	string              	                    
state__view__current_page__ui_responsive_breakpoint	int                 	                    
state__view__current_page__elements__selected_options	array<string>       	                    
operation__billing__payment_amount	string              	                    
operation__billing__payment_date_from_due_date	string              	                    
operation__billing__statement_age	string              	                    
message__feature__previous_step	string              	                    
operation__reminder_options	map<string,string>  	                    
visit__device__manufacturer	string              	                    
visit__account__subscription	string              	                    
visit__account__billing_slice	string              	                    
visit__account__account_billing_state	string              	                    
operation__user_preference_category	string              	                    
operation__user_preference_selections	map<string,string>  	                    
application__api__retry	boolean             	                    
application__api__retry_count	int                 	                    
application__api__max_retry_count	int                 	                    
state__view__currentpage__page_subsection__all_displayed	array<string>       	                    
state__view__mirroring	boolean             	                    
message__feature__completed_steps	array<string>       	                    
message__feature__transaction_id	string              	                    
message__feature__feature_step_name	string              	                    
message__feature__feature_step_changed	boolean             	                    
operation__user_preferences_selections	array<string>       	                    
state__search__search_results__id	array<string>       	                    
state__search__search_results__id_type	array<string>       	                    
state__search__search_results__facet	array<string>       	                    
visit__account__details__customer_stream_subtype	string              	                    
message__event_case_id	string              	                    
state__playback__frames__dropped_frames	int                 	                    
state__playback__frames__frame_rate	int                 	                    
state__playback__buffer__buffer_length_ms	int                 	                    
state__content__stream__number_of_audio_sources	int                 	                    
state__view__current_page__elements__element_int_value	int                 	                    
state__view__current_page__elements__element_string_value	string              	                    
state__view__current_page__additional_information	string              	                    
state__view__current_page__billing__bill_start_date	bigint              	                    
state__view__current_page__billing__bill_end_date	bigint              	                    
state__view__current_page__billing__bill_progress	int                 	                    
state__view__current_page__billing__bill_due_date	bigint              	                    
state__view__current_page__billing__recent_charges	double              	                    
state__view__current_page__billing__payment_method	string              	                    
state__view__current_page__billing__cc_vendor	string              	                    
visit__device__used_storage	string              	                    
visit__cpu__average_usage	double              	                    
visit__external_apps__app_status	array<string>       	                    
operation__billing__payment_date	string              	                    
operation__billing__payment_due_date	string              	                    
operation__billing__payment_method	string              	                    
operation__additional_information	string              	                    
application__error__client_error_code	string              	                    
operation__billing__payment_amount_usd	double              	                    
state__playback__dai_enabled	boolean             	                    
state__content__stream__packager_group	string              	                    
state__content__stream__publish_point	string              	                    
state__content__stream__stream_host	string              	                    
state__view__content__identifiers__dvr_recording_id	string              	                    
state__view__content__identifiers__provider_asset_id	string              	                    
state__view__content__identifiers__tms_guide_id	string              	                    
state__view__content__identifiers__platform_series_id	string              	                    
state__view__content__identifiers__tms_series_id	string              	                    
state__view__content__identifiers__tms_program_id	string              	                    
state__view__content__stream__start_timestamp	bigint              	                    
visit__account__account_kma	string              	                    
visit__account__details__specu_university_finisher	string              	                    
state__playback__player_bandwidth	bigint              	                    
state__view__current_page__components__component_name	array<string>       	                    
state__view__current_page__components__ui_name	array<string>       	                    
state__view__current_page__components__standardized_name	array<string>       	                    
state__view__current_page__components__page_section	array<string>       	                    
state__view__current_page__components__index	array<int>          	                    
state__view__current_page__components__total_index_cnt	array<int>          	                    
state__view__current_page__components__value_type	array<string>       	                    
state__view__current_page__components__string_value	array<string>       	                    
state__view__current_page__components__int_value	array<int>          	                    
state__view__current_page__elements__element_url	string              	                    
state__view__current_page__performance_timing__navigation_start	bigint              	                    
state__view__current_page__performance_timing__unload_event_start	bigint              	                    
state__view__current_page__performance_timing__unload_event_end	bigint              	                    
state__view__current_page__performance_timing__redirect_start	bigint              	                    
state__view__current_page__performance_timing__redirect_end	bigint              	                    
state__view__current_page__performance_timing__fetchstart	bigint              	                    
state__view__current_page__performance_timing__domain_lookup_start	bigint              	                    
state__view__current_page__performance_timing__domain_lookup_end	bigint              	                    
state__view__current_page__performance_timing__connect_start	bigint              	                    
state__view__current_page__performance_timing__connect_end	bigint              	                    
state__view__current_page__performance_timing__secure_connection_start	bigint              	                    
state__view__current_page__performance_timing__request_start	bigint              	                    
state__view__current_page__performance_timing__response_start	bigint              	                    
state__view__current_page__performance_timing__response_end	bigint              	                    
state__view__current_page__performance_timing__dom_loading	bigint              	                    
state__view__current_page__performance_timing__dom_interactive	bigint              	                    
state__view__current_page__performance_timing__dom_content_loaded_event_start	bigint              	                    
state__view__current_page__performance_timing__dom_content_loaded_event_end	bigint              	                    
state__view__current_page__performance_timing__dom_complete	bigint              	                    
state__view__current_page__performance_timing__load_event_start	bigint              	                    
state__view__current_page__performance_timing__load_event_end	bigint              	                    
visit__permission_settings	map<string,string>  	                    
visit__device__imei 	string              	                    
visit__device__android_device_id	string              	                    
visit__device__linked_device__guide_type	string              	                    
visit__device__linked_device__ip_address	string              	                    
visit__account__time_zone	string              	                    
state__playback__video_player_settings__profile	map<string,string>  	                    
state__playback__video_player_settings__recommended_bitrate_bps	int                 	                    
visit__device__settings	map<string,string>  	                    
visit__device__player_details	string              	                    
visit__account__details__bulk_mdu_class	string              	                    
visit__app_session_id	string              	                    
state__search__search_results__url	array<string>       	                    
state__search__search_results__name	array<string>       	                    
application__error__crash_thread_id	string              	                    
application__error__crash_reason	string              	                    
operation__third_party__requester_id	string              	                    
operation__third_party__session_id	string              	                    
visit__device__ota_channels	boolean             	                    
visit__device__ota_channel_map__physical_transmission_channel	array<int>          	                    
visit__device__ota_channel_map__major_channel_number	array<int>          	                    
visit__device__ota_channel_map__minor_channel_number	array<int>          	                    
visit__device__ota_channel_map__source_id	array<int>          	                    
visit__device__ota_channel_map__program_number	array<int>          	                    
visit__device__ota_channel_map__transport_stream_id	array<int>          	                    
visit__device__ota_channel_map__original_network_id	array<int>          	                    
visit__device__ota_channel_map__service_name	array<string>       	                    
visit__device__ota_channel_map__channel_name	array<string>       	                    
visit__in_focus     	boolean             	                    
warp__retry_attempt 	int                 	                    
warp__retry_date    	bigint              	                    
state__view__picture_in_picture	boolean             	                    
visit__account__entitlements	string              	                    
visit__account__system_sys	string              	                    
visit__account__system_prin	string              	                    
visit__account__system_agent	string              	                    
visit__account__account_franchise	string              	                    
visit__application_details__referrer_app__application_type	string              	                    
visit__application_details__referrer_app__application_name	string              	                    
visit__application_details__referrer_app__visit_id	string              	                    
visit__application_details__referrer_app__is_active	boolean             	                    
visit__chromecast_enabled	boolean             	                    
visit__account__details__billing_status	string              	                    
visit__account__details__auto_pay_status	string              	                    
visit__account__details__statement_method	string              	                    
visit__account__details__appointment_scheduled	boolean             	                    
performance__block  	string              	                    
performance__tag    	string              	                    
performance__time_in_action_ms	double              	                    
performance__network_calls__total_calls	int                 	                    
performance__network_calls__total_time_ms	double              	                    
performance__network_calls__max_time_ms	double              	                    
performance__events_dispached__total_instances	int                 	                    
performance__events_dispached__total_time_ms	double              	                    
performance__events_dispached__instances__name	array<string>       	                    
performance__events_dispached__instances__time_ms	array<double>       	                    
performance__events_dispached__instances__instances	array<int>          	                    
performance__events_dispached__max_time_details__name	array<string>       	                    
performance__events_dispached__max_time_details__time_ms	array<double>       	                    
performance__events_dispached__max_time_details__instances	array<int>          	                    
performance__views_loaded__total_instances	int                 	                    
performance__views_loaded__total_time_ms	double              	                    
performance__views_loaded__max_time_ms	double              	                    
performance__views_loaded__instances__name	array<string>       	                    
performance__views_loaded__instances__time_ms	array<double>       	                    
performance__views_loaded__instances__instances	array<int>          	                    
performance__views_loaded__max_time_details__name	array<string>       	                    
performance__views_loaded__max_time_details__time_ms	array<double>       	                    
performance__views_loaded__max_time_details__instances	array<int>          	                    
performance__views_updated__total_instances	int                 	                    
performance__views_updated__total_time_ms	double              	                    
performance__views_updated__max_time_ms	double              	                    
performance__views_updated__instances__name	array<string>       	                    
performance__views_updated__instances__time_ms	array<double>       	                    
performance__views_updated__instances__instances	array<int>          	                    
performance__views_updated__max_time_details__name	array<string>       	                    
performance__views_updated__max_time_details__time_ms	array<double>       	                    
performance__views_updated__max_time_details__instances	array<int>          	                    
performance__paired_functions__total_instances	int                 	                    
performance__paired_functions__total_time_ms	double              	                    
performance__paired_functions__max_time_ms	double              	                    
performance__paired_functions__instances__name	array<string>       	                    
performance__paired_functions__instances__time_ms	array<double>       	                    
performance__paired_functions__instances__instances	array<int>          	                    
performance__paired_functions__max_time_details__name	array<string>       	                    
performance__paired_functions__max_time_details__time_ms	array<double>       	                    
performance__paired_functions__max_time_details__instances	array<int>          	                    
state__playback__retry_attempts	int                 	                    
performance__page_launch_time_ms	double              	                    
visit__account__details__namespace	string              	                    
operation__user_entry__feedback	string              	                    
operation__user_entry__category	string              	                    
operation__settings_updates	map<string,string>  	                    
custom__name        	string              	                    
custom__domain      	string              	                    
custom__level       	string              	                    
custom__message     	map<string,string>  	                    
custom__source_code_info__file_name	string              	                    
custom__source_code_info__function_name	string              	                    
custom__source_code_info__line_number	int                 	                    
state__view__current_page__page_title	string              	                    
visit__application_details__referrer_app__app_identifier	string              	                    
visit__device__serial_number	string              	                    
visit__login__user_token	string              	                    
visit__account__tv_provider	string              	                    
visit__analytics__library_version	string              	                    
visit__analytics__requirements_version	string              	                    
visit__analytics__library_init_time_ms	int                 	                    
visit__analytics__requirements_response_time_ms	int                 	                    
visit__analytics__requirements_source	string              	                    
state__content__identifiers__launched_source	string              	                    
state__view__split_screen	string              	                    
state__impression__id	string              	                    
state__impression__campaign_id	string              	                    
state__impression__location	string              	                    
state__impression__tms_program_id	string              	                    
state__impression__tms_series_id	string              	                    
state__impression__width	int                 	                    
state__impression__height	int                 	                    
state__impression__interaction	string              	                    
state__impression__viewed_time	int                 	                    
visit__activated_experiments	map<string,string>  	                    
visit__account__trusted_auth_id	string              	                    
warp__json_transformations	string              	                    
state__playback__heartbeat__running_total_content_elapsed_ms	int                 	                    
state__playback__retry_time_ms	int                 	                    
state__playback__retry_category	string              	                    
state__playback__retry_method	string              	                    
state__playback__player_session_id	string              	                    
state__view__current_page__page_section__onsite_campaign_id	string              	                    
state__view__current_page__page_section__ad_type	string              	                    
state__view__current_page__page_section__campaign_category	string              	                    
state__view__currentpage__campaign__page_view_campaign_id	string              	                    
state__view__current_page__biller_type	string              	                    
state__view__current_page__total_amount_due	double              	                    
state__view__current_page__past_due_amount	double              	                    
state__impression__location_tms_guide_id	string              	                    
visit__application_details__technology_type	string              	                    
visit__application_details__build_timestamp	bigint              	                    
visit__application_details__package_version	string              	                    
visit__device__controller_type	string              	                    
visit__video_zone__service_category	string              	                    
visit__account__details__service_subscriptions	map<string,string>  	                    
visit__account__payment_restrictions	map<string,string>  	                    
operation__user_entry__numeric	int                 	                    
operation__user_entry__survey_id	string              	                    
operation__user_entry__question_id	int                 	                    
operation__user_entry__feedback_id	string              	                    
operation__int_value	int                 	                    
state__view__previous_page__page_url	string              	                    
state__referrer__instance_link	string              	                    
state__referrer__instance_location	string              	                    
state__referrer__instance_campaign_id	string              	                    
visit__first_launch 	boolean             	                    
state__view__current_page__current_balance_amount	double              	                    
visit__device__secondary_uuid	string              	                    
application__api__data_center	string              	                    
state__content__ota_missing	boolean             	                    
state__view__current_page__channel_lineup__ota_missing_delta	int                 	                    
visit__activated_experiment_uuids	array<string>       	                    
visit__promotion__end_date	bigint              	                    
visit__promotion__offer_id	string              	                    
visit__promotion__promo_id	string              	                    
visit__promotion__promo_type	string              	                    
visit__promotion__start_date	bigint              	                    
message__recovery_event_trigger	string              	                    
state__content__stream__playback_manifest	string              	                    
visit__device__credentials_saved	boolean             	                    
visit__account__account_company	string              	                    
visit__account__account_site_id	string              	                    
warp__uuid          	string              	                    
warp__replay_reason 	string              	                    
warp__replay_timestamp	bigint              	                    
operation__user_entry__str_value	string              	                    
partition_date_utc  	string              	                    
partition_date_hour_utc	string              	                    
