run	comment	label1	label2	label3	label4	label5	condition1	condition2	condition3	condition4	condition5
TRUE	pre unauth hp pv	CL-53	HomePage Release	Home	Unauth	Pre	message__category = 'Page View'	LOWER(state__view__current_page__name) = 'home'	visit__isp__status='Logged Out'		
TRUE	post unauth hp pv	CL-53	HomePage Release	Home	Unauth	Post	message__category = 'Page View'	LOWER(state__view__current_page__name) = 'home-unauth'			
TRUE	pre login event	CL-53	HomePage Release	Sign In	Unauth	Pre	message__category = 'Custom Link'	LOWER(state__view__current_page__name) = 'login'	message__name RLIKE 'Sign-| In'		
TRUE	post login event	CL-53	HomePage Release	Sign In	Unauth	Post	message__category = 'Custom Link'	LOWER(state__view__current_page__name) = 'home-unauth'	message__name RLIKE 'Sign-| In'		
FALSE	3a Feature Usage One Time Payment	CL-53	HomePage Release	One Time Payment	confirmation	Pre	message__category = 'Page View'	"state__view__current_page__name IN ('OneTime-noAutoPay-Credit-Confirm','OneTime-noAutoPay-Checking-Confirm','OneTime-wAutoPay-Credit-Confirm','OneTime-wAutoPay-Checking-Confirm','OneTime-noAutoPay-Savings-Confirm','OneTime-wAutoPay-Savings-Confirm') "			
FALSE	3a Feature Usage One Time Payment	CL-53	HomePage Release	One Time Payment	confirmation	Post	message__category = 'Page View'	"state__view__current_page__name IN ('pay-bill.onetime-confirmation','pay-bill.onetime-confirmation-with-autopay-enrollment')"			
FALSE	3b Feature Usage AutoPay Setup	CL-53	HomePage Release	AutoPay	confirmation	Pre	message__category = 'Page View'	"state__view__current_page__name IN ('AutoPay-wBalance-Credit-Confirm','AutoPay-wBalance-Checking-Confirm','AutoPay-noBalance-Credit-Confirm','AutoPay-noBalance-Checking-Confirm','AutoPay-wBalance-Savings-Confirm','AutoPay-noBalance-Savings-Confirm')"			
TRUE	3b Feature Usage AutoPay Setup	CL-53	HomePage Release	AutoPay	confirmation	Post	message__category = 'Page View'	"state__view__current_page__name IN ('pay-bill.enroll-in-autopay-no-balance.credit','pay-bill.enroll-in-autopay-no-balance.checking','pay-bill.enroll-in-autopay-no-balance.savings','pay-bill.enroll-in-autopay-with-balance.credit','pay-bill.enroll-in-autopay-with-balance.checking','pay-bill.enroll-in-autopay-with-balance.savings')"			
TRUE	4 Upgrade Link Clicks (overview only; other clicks captured in CL-55 metrics)	CL-53	HomePage Release	Upgrade Links	Overview		message__category = 'Custom Link'	LOWER(message__name) IN ('upgrade-overview-banner')			
TRUE	8a Bill Pay from Local Nav	CL-53	HomePage Release	Bill Pay Clicks	From Local Nav		message__category = 'Custom Link'	"state__view__current_page__name = ""home-authenticated"""	"message__name =  ""localNav-billing"""		
TRUE	8b Bill Pay from Bill Pay Card	CL-53	HomePage Release	Bill Pay Clicks	From Bill Pay Card on HP		message__category = 'Custom Link'	"message__name in (""pay-bill.make-a-payment-hp"",""pay-bill.enroll-in-autopay-hp"",""pay-bill.view-bill-details-hp"")"			
